#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
88games;'88 Games;mame;;1988;Konami;Sports / Track & Field;4;0;only_buttons,only_buttons,only_buttons,only_buttons;good;1;raster;;;4P alt / 2P sim;3;;;;
flagrall;'96 Flag Rally;mame;;1996;Promat?;Maze / Driving;1;0;joystick (8-way);good;1;raster;;;1P;2;;;;
pr_lday;'L' Of A Day (Project) (Cash set) (PROCONN);mame;;199?;Project;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
005;005;mame;;1981;Sega;Maze / Shooter Small;2;270;joystick (4-way),joystick (4-way);imperfect;1;raster;;;2P alt;1;;;;
tgoldeye;007: GoldenEye (Tiger);mame;;1996;Tiger Electronics;Handheld / Electronic Game;1;0;joystick (8-way);good;1;svg;;;Non-arcade;4;;;;
1on1gov;1 on 1 Government (Japan);mame;;2000;Tecmo;Sports / Basketball;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;coh1002m;;4P sim;5;;;;
jak_1vs;1 Vs 100 (JAKKS Pacific TV Game);mame;;2007;JAKKS Pacific Inc / Pronto Games;Handheld / Plug n' Play TV Game;1;0;joystick (8-way);imperfect;1;raster;;;Non-arcade;4;;;;
jouet;10 Jeux Interactifs / Jeux Pour Filles (France);mame;;200?;<unknown>;Computer / Child Computer;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
m4tenten;10 X 10 (Barcrest) (MPU4) (T20 0.2);mame;;199?;Barcrest;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;7;;;;
10yard;10-Yard Fight (World, set 1);mame;;1983;Irem;Sports / Football;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;2;;;;
mc_dcat8;100 in 1 (D-CAT8 8bit Console, set 1) (v5.01.11-frd, BL 20041217);mame;;2004;<unknown>;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
mc_aa2;100 in 1 Arcade Action II (AT-103);mame;;200?;<unknown>;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
100lions;100 Lions (10219211, NSW/ACT);mame;;2006;Aristocrat;Slot Machine / Video Slot;0;0;;preliminary;1;raster;aristmk6;;???;;;;;
kazaaan2;100&Medal GekiKazaaan!! (MDA-C0098D);mame;;2016;Sega;Medal Game / Misc.;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;segasp;;chd;3;;;;
kazaaan;100&Medal Kazaaan!!;mame;;2010;Sega;Medal Game / Misc.;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;segasp;;;3;;;;
gtmr;1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18);mame;;1994;Kaneko;Driving / Race;2;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;;;2P alt;2;;;;
100in1rg;100in1rg;mame;;;;Game Console / Home Mahjong;;;;;;;;;;;;;;
sen101;101 Games in 1 (Senario, NES/Famicom bootlegs);mame;;2009;Senario;Handheld / Plug n' Play TV Game / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
rw10r;10R (Rockwell);mame;;1974;Rockwell;Calculator / Pocket Calculator;1;;keypad;good;0;;;;Non-arcade;16;;;;
mc_110cb;110 in 1 CoolBaby (CoolBoy RS-1S);mame;;200?;CoolBoy;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
